probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,gene_symbol_raw,gene_id,gene_title,is_annotated_gene,abs_logFC,direction,main_candidate,nominal_candidate
ILMN_2097421,-0.554343558406056,9.07901550993574,-11.7810622724139,1.01280397370535e-25,3.88126738803366e-21,47.7094543196127,MRPL51,MRPL51,51258,mitochondrial ribosomal protein L51,TRUE,0.554343558406056,AD_down,TRUE,TRUE
ILMN_1784286,-1.07529595383285,10.9548917496827,-11.3604906290192,2.43323444408156e-24,4.66232051830468e-20,44.5880553894409,NDUFA1,NDUFA1,4694,NADH:ubiquinone oxidoreductase subunit A1,TRUE,1.07529595383285,AD_down,TRUE,TRUE
ILMN_2189936,-0.686679509222695,12.3368814920482,-10.3713686636028,3.71196220043605e-21,4.28441209251945e-17,37.3934827605488,RPL36AL,RPL36AL,6166,ribosomal protein L36a like,TRUE,0.686679509222695,AD_down,TRUE,TRUE
ILMN_1695645,-0.335911876636125,9.53846688181526,-10.3458088398183,4.47201303952763e-21,4.28441209251945e-17,37.2107159138562,CETN2,CETN2,1069,centrin 2,TRUE,0.335911876636125,AD_down,TRUE,TRUE
ILMN_1776104,-0.893634242601138,9.39844862459036,-10.2010304692779,1.28027176322514e-20,9.81251490206278e-17,36.1788040750021,NDUFS5,NDUFS5,4725,NADH:ubiquinone oxidoreductase subunit S5,TRUE,0.893634242601138,AD_down,TRUE,TRUE
ILMN_1732328,-0.933668511622774,11.0244121932811,-10.0630676810539,3.46942427631734e-20,2.2141314546481e-16,35.2008916182418,"","","","",FALSE,0.933668511622774,AD_down,TRUE,TRUE
ILMN_1792528,-0.602505748084952,13.7324911925703,-10.0417801495146,4.04439230273386e-20,2.2141314546481e-16,35.0504846020988,"","","","",FALSE,0.602505748084952,AD_down,TRUE,TRUE
ILMN_1746516,-0.648386927571901,13.697633447992,-9.96052525269961,7.25315988213832e-20,3.47444491254131e-16,34.4775930271031,RPS25,RPS25,6230,ribosomal protein S25,TRUE,0.648386927571901,AD_down,TRUE,TRUE
ILMN_2128128,-0.940338611060393,9.07273246481125,-9.80065159725464,2.27597977696546e-19,9.01568895331913e-16,33.3561451150341,SHFM1,SHFM1,7979,split hand/foot malformation (ectrodactyly) type 1,TRUE,0.940338611060393,AD_down,TRUE,TRUE
ILMN_2339779,-0.407358230650293,10.9628409425301,-9.79600564132497,2.35261441295317e-19,9.01568895331913e-16,33.323672040738,ATP6V1E1,ATP6V1E1,529,ATPase H+ transporting V1 subunit E1,TRUE,0.407358230650293,AD_down,TRUE,TRUE
ILMN_1716895,-0.425497769162685,8.52120332146988,-9.71493976021387,4.18831374036279e-19,1.45913235598348e-15,32.7581393048239,RPA3,RPA3,6119,replication protein A3,TRUE,0.425497769162685,AD_down,TRUE,TRUE
ILMN_2187718,-0.51447204263436,9.65359336174297,-9.67059664253825,5.73694390248482e-19,1.83209303525853e-15,32.4496662144969,COX17,COX17,10063,"COX17, cytochrome c oxidase copper chaperone",TRUE,0.51447204263436,AD_down,TRUE,TRUE
ILMN_2237746,-0.36917532527535,8.28577261664659,-9.65552542130608,6.38352669071092e-19,1.88176546031865e-15,32.3449655546822,ING3,ING3,54556,inhibitor of growth family member 3,TRUE,0.36917532527535,AD_down,TRUE,TRUE
ILMN_2189933,-0.726972235501704,10.9903056701566,-9.63021386908591,7.63631610231453e-19,2.09027789766355e-15,32.1692883479466,RPL36AL,RPL36AL,6166,ribosomal protein L36a like,TRUE,0.726972235501704,AD_down,TRUE,TRUE
ILMN_1815707,-0.382516565344859,8.81838928034538,-9.61221300499552,8.67312579996411e-19,2.21581017937483e-15,32.0444770719786,CALML4,CALML4,91860,calmodulin like 4,TRUE,0.382516565344859,AD_down,TRUE,TRUE
ILMN_1726603,-0.716191815350235,10.5736256765141,-9.5040157569849,1.86020163479454e-18,4.45541544053727e-15,31.2965013832897,ATP5I,ATP5I,521,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E",TRUE,0.716191815350235,AD_down,TRUE,TRUE
ILMN_2048326,-0.471002989560041,13.7919355654217,-9.43780850397495,2.96153869251731e-18,6.67600504556755e-15,30.8407155989388,RPS27A,RPS27A,6233,ribosomal protein S27a,TRUE,0.471002989560041,AD_down,TRUE,TRUE
ILMN_2232936,-0.745024242769376,10.30002981549,-9.39621479329831,3.96341844211562e-18,8.43811786326415e-15,30.5551296070114,UQCRH,UQCRH,7388,ubiquinol-cytochrome c reductase hinge protein,TRUE,0.745024242769376,AD_down,TRUE,TRUE
ILMN_1803775,-0.726354253871327,8.92021907575904,-9.1977356156901,1.57918436567546e-17,3.18513175060078e-14,29.2005697376248,HSPE1,HSPE1,3336,heat shock protein family E (Hsp10) member 1,TRUE,0.726354253871327,AD_down,TRUE,TRUE
ILMN_1726239,-0.617879678554818,10.0321604148675,-9.14966180429056,2.20267481239094e-17,4.22054520802228e-14,28.8745704975339,TBCA,TBCA,6902,tubulin folding cofactor A,TRUE,0.617879678554818,AD_down,TRUE,TRUE
ILMN_1664167,-0.36828805464016,8.31206858658635,-8.98624993522521,6.78416209740696e-17,1.23801266617538e-13,27.7727257388739,RPF2,RPF2,84154,ribosome production factor 2 homolog,TRUE,0.36828805464016,AD_down,TRUE,TRUE
ILMN_1753892,-0.366709959049085,8.21902573166667,-8.94965536288876,8.71605509390788e-17,1.51825756049426e-13,27.5273345565228,"","","","",FALSE,0.366709959049085,AD_down,TRUE,TRUE
ILMN_2166865,-0.665704207880317,8.58217937945382,-8.91317148704979,1.11840478006035e-16,1.86345686875968e-13,27.2831886635089,ENY2,ENY2,56943,"ENY2, transcription and export complex 2 subunit",TRUE,0.665704207880317,AD_down,TRUE,TRUE
